0:3,2:3,2:-1,1; 11:3,4000000000000004:3,9000000000000004:0,8; 12:2,8000000000000003:3,5999999999999996:-0,6; 13:3,7:4,2:0,4; 14:2,6:2,8000000000000003:-1,5; 15:4,2:4,2:-1,2; 16:2,9:2,1:-1,7000000000000002; 21:4,2:4,2:-1,4000000000000001; 22:3:2:-1,7000000000000002; 23:3,5:5,300000000000001:0,3; 24:3,1:5,300000000000001:-0,3; 25:3,2:6,1:-0,8999999999999999; 26:3,1:6,6000000000000005:-1,1; 27:3,2:7,199999999999999:0,2; 28:3,2:8,100000000000001:-1; 31:3,3000000000000003:7,7:-0,8999999999999999; 32:3,3000000000000003:8,5:-2,7
0:3,2:3,2:-1; 11:3,4000000000000004:3,9000000000000004:0,8; 12:2,8000000000000003:3,5999999999999996:-0,6; 13:3,7:4,2:0,8; 14:2,6:2,8000000000000003:-1,6; 15:4,2:4,2:-0,3; 16:2,9:2,1:-1,7999999999999998; 21:4,2:4,2:-0,4; 22:3:2:-1,7999999999999998; 23:3,4000000000000004:5,2:0,3; 24:3,1:5,300000000000001:-0,3; 25:3,2:5,5:-0,4; 26:3,1:6,6000000000000005:-1,4000000000000001; 27:3,1:5,8999999999999995:1; 28:3,2:8,100000000000001:-1,7000000000000002; 31:3,3000000000000003:6:0,5; 32:3,3000000000000003:8,5:-3,2
0:3,2:3,2:-1,4000000000000001; 11:3,4000000000000004:3,9000000000000004:0,2; 12:2,6:3,7:-0,5; 13:3,8:4,1:-0,5; 14:2,5:2,8000000000000003:-1,5; 15:4,2:4:-1,7000000000000002; 16:2,6:2,1:-1,9; 21:4,3:4:-1,7999999999999998; 22:2,7:2:-1,9; 23:3,4000000000000004:5,1:0,1; 24:3:5,300000000000001:-0,1; 25:3,2:4,6000000000000005:-2,9; 26:3:6,6000000000000005:-1,3; 27:3,1:4,699999999999999:-3,9000000000000004; 28:3,2:8,100000000000001:-1,1; 31:3:4,5:-5,2; 32:3,2:8,5:-2,5
0:3:3,2:-0,4; 11:3,3000000000000003:3,9000000000000004:0,5; 12:2,6:3,7:0,3; 13:3,8:4:-0,6; 14:2,4:2,8000000000000003:-1; 15:4,2:3,9000000000000004:-2,3000000000000003; 16:2,5:2,2:-1,7999999999999998; 21:4,3:3,8:-2,5; 22:2,5:2:-1,7999999999999998; 23:3,4000000000000004:5,1:-0; 24:3:5,300000000000001:0; 25:3,3000000000000003:4,699999999999999:-2,8000000000000003; 26:3:6,6000000000000005:-1,1; 27:3,2:5,1:-3,5; 28:3,1:8,100000000000001:-0,5; 31:3,1:5:-4,6000000000000005; 32:3,2:8,5:-1,6
0:3:3,3000000000000003:-0,4; 11:3,3000000000000003:4:0,5; 12:2,5:3,8:0; 13:3,8:4:-0,8; 14:2,4:2,9:-1,1; 15:4,3:3,8:-2,7; 16:2,5:2,2:-2,2; 21:4,3:3,8:-2,8000000000000003; 22:2,5:2,1:-2,2; 23:3,3000000000000003:5:0,1; 24:3:5,4:-0,1; 25:3,4000000000000004:4,699999999999999:-3,3000000000000003; 26:3:6,7:-1,6; 27:3,4000000000000004:5,1:-4,699999999999999; 28:3,1:8,100000000000001:-1,6; 31:3,4000000000000004:5:-6,1; 32:3,1:8,5:-2,9
0:3:3,4000000000000004:-2,8000000000000003; 11:3,2:4:-1,3; 12:2,5:3,8:-1,5; 13:3,8:3,9000000000000004:-2,5; 14:2,4:3:-2,3000000000000003; 15:4,3:3,5999999999999996:-4,6000000000000005; 16:2,4:2,2:-3; 21:4,4:3,5999999999999996:-4,699999999999999; 22:2,4:2,1:-3,1; 23:3,3000000000000003:5:-0,1; 24:3:5,4:0,1; 25:3,5:4,6000000000000005:-3,5; 26:3:6,7:-1,5; 27:3,8:4,699999999999999:-4,2; 28:3,1:8,100000000000001:-1,7999999999999998; 31:3,9000000000000004:4,5:-5,4; 32:3,1:8,4:-3,2
0:2,9:3,4000000000000004:-2,2; 11:3,2:4:-1; 12:2,4:3,8:-1,4000000000000001; 13:3,8:3,9000000000000004:-2,1; 14:2,3000000000000003:3,1:-2,2; 15:4,3:3,5999999999999996:-4,1; 16:2,3000000000000003:2,3000000000000003:-3; 21:4,3:3,5:-4,2; 22:2,3000000000000003:2,2:-3,1; 23:3,3000000000000003:5:-0; 24:2,9:5,4:0; 25:3,5999999999999996:4,6000000000000005:-3; 26:3:6,7:-1,7000000000000002; 27:3,9000000000000004:4,6000000000000005:-4,8; 28:3:8,100000000000001:-2,5; 31:4:4,3:-6; 32:3:8,4:-3,7
0:2,8000000000000003:3,4000000000000004:-2,5; 11:3,1:4:-0,8; 12:2,4:3,9000000000000004:-1,5; 13:3,7:3,8:-1,5; 14:2,2:3,1:-2,6; 15:4,3:3,4000000000000004:-2,8000000000000003; 16:2,2:2,5:-3,5999999999999996; 21:4,3:3,4000000000000004:-2,9; 22:2,2:2,4:-3,7; 23:3,2:5:0; 24:2,9:5,4:-0; 25:3,7:4,699999999999999:-2,4; 26:2,9:6,7:-1,2; 27:4,2:4,6000000000000005:-2,5; 28:3:8,100000000000001:-1,3; 31:4,3:4,4:-3,5999999999999996; 32:2,9:8,4:-2,7
0:2,8000000000000003:3,5:-2,5; 11:3:4,1:-0,8; 12:2,3000000000000003:3,9000000000000004:-1,4000000000000001; 13:3,5999999999999996:3,8:-1,3; 14:2,2:3,2:-2; 15:4,2:3,5:-2,7; 16:2,1:2,6:-2,8000000000000003; 21:4,3:3,4000000000000004:-2,9; 22:2,1:2,5:-2,9; 23:3,2:5,1:0; 24:2,9:5,5:-0; 25:3,8:4,8:-1,1; 26:2,9:6,7:-1; 27:4,4:4,699999999999999:-0,1; 28:3:8,100000000000001:-0,8999999999999999; 31:4,5:4,5:-0,8; 32:3:8,5:-2,3000000000000003
0:2,7:3,5:-2,4; 11:3:4,1:-0,7000000000000001; 12:2,3000000000000003:4:-1; 13:3,5999999999999996:3,9000000000000004:-1,2; 14:2,1:3,3000000000000003:-1,4000000000000001; 15:4,2:3,5:-2,5; 16:2:2,7:-2,1; 21:4,3:3,4000000000000004:-2,7; 22:2:2,6:-2,2; 23:3,1:5,2:-0; 24:2,8000000000000003:5,6000000000000005:0; 25:3,8:5,1:-1,1; 26:2,9:6,800000000000001:-0,6; 27:4,5:4,8:-0; 28:3,2:8,100000000000001:0,3; 31:4,6000000000000005:4,6000000000000005:-1; 32:3,1:8,5:-1
