0,8570395708084106:0,8149905204772949:-1,3912148475646973; 0,994782567024231:0,9918080568313599:-0,44907045364379883; 0,4996398389339447:0,9460652470588684:-0,6677463054656982; 1,0494438409805298:1,3455275297164917:-0,490850567817688; 0,35494184494018555:1,3315098285675049:-0,5598980188369751; 1,0598461627960205:1,426491618156433:-0,8817104697227478; 0,34759682416915894:1,6563537120819092:-0,8061545491218567; 1,0419621467590332:1,4210602045059204:-0,9185125827789307; 0,40880900621414185:1,7371357679367065:-0,8452027440071106; 0,8158265948295593:1,7274833917617798:0,0412982702255249; 0,5233504176139832:1,7414404153823853:-0,042111221700906754; 0,8152574896812439:2,3627450466156006:-0,40155234932899475; 0,506169855594635:2,3677361011505127:-0,40041375160217285; 0,7850773334503174:2,889251708984375:-0,15207229554653168; 0,49329206347465515:2,899751901626587:-0,09579839557409286; 0,7705492377281189:3,111431837081909:-0,41371092200279236; 0,5548045635223389:3,129979133605957:-0,41938453912734985
0,8570395708084106:0,8149905204772949:-1,3912148475646973; 0,994782567024231:0,9918080568313599:-0,44907045364379883; 0,4996398389339447:0,9460652470588684:-0,6677463054656982; 1,0494438409805298:1,3455275297164917:-0,490850567817688; 0,35494184494018555:1,3315098285675049:-0,5598980188369751; 1,0598461627960205:1,426491618156433:-0,8817104697227478; 0,34759682416915894:1,6563537120819092:-0,8061545491218567; 1,0419621467590332:1,4210602045059204:-0,9185125827789307; 0,40880900621414185:1,7371357679367065:-0,8452027440071106; 0,8158265948295593:1,7274833917617798:0,0412982702255249; 0,5233504176139832:1,7414404153823853:-0,042111221700906754; 0,8152574896812439:2,3627450466156006:-0,40155234932899475; 0,506169855594635:2,3677361011505127:-0,40041375160217285; 0,7850773334503174:2,889251708984375:-0,15207229554653168; 0,49329206347465515:2,899751901626587:-0,09579839557409286; 0,7705492377281189:3,111431837081909:-0,41371092200279236; 0,5548045635223389:3,129979133605957:-0,41938453912734985
0,8569750785827637:0,8154020309448242:-1,4241083860397339; 0,9943267107009888:0,9908559322357178:-0,459166944026947; 0,4999147951602936:0,9460715055465698:-0,6756911873817444; 1,0357327461242676:1,3490896224975586:-0,49082493782043457; 0,35594338178634644:1,3301448822021484:-0,5521162748336792; 1,033766269683838:1,4666879177093506:-0,8901470899581909; 0,3484717011451721:1,6560567617416382:-0,7962611317634583; 1,0145045518875122:1,4704644680023193:-0,9278411865234375; 0,40942811965942383:1,7367513179779053:-0,836342990398407; 0,8156631588935852:1,7270092964172363:0,04127800837159157; 0,5234191417694092:1,7413758039474487:-0,04208599030971527; 0,8152500987052917:2,3614773750305176:-0,3898943066596985; 0,5061737298965454:2,367063045501709:-0,39983057975769043; 0,7845888137817383:2,887406349182129:-0,1151515394449234; 0,4933081567287445:2,898465871810913:-0,07806698977947235; 0,7682200074195862:3,108882427215576:-0,38263264298439026; 0,5545660853385925:3,1281096935272217:-0,4087558090686798
0,8570395708084106:0,8149905204772949:-1,3912148475646973; 0,994782567024231:0,9918080568313599:-0,44907045364379883; 0,4996398389339447:0,9460652470588684:-0,6677463054656982; 1,0494438409805298:1,3455275297164917:-0,490850567817688; 0,35494184494018555:1,3315098285675049:-0,5598980188369751; 1,0598461627960205:1,426491618156433:-0,8817104697227478; 0,34759682416915894:1,6563537120819092:-0,8061545491218567; 1,0419621467590332:1,4210602045059204:-0,9185125827789307; 0,40880900621414185:1,7371357679367065:-0,8452027440071106; 0,8158265948295593:1,7274833917617798:0,0412982702255249; 0,5233504176139832:1,7414404153823853:-0,042111221700906754; 0,8152574896812439:2,3627450466156006:-0,40155234932899475; 0,506169855594635:2,3677361011505127:-0,40041375160217285; 0,7850773334503174:2,889251708984375:-0,15207229554653168; 0,49329206347465515:2,899751901626587:-0,09579839557409286; 0,7705492377281189:3,111431837081909:-0,41371092200279236; 0,5548045635223389:3,129979133605957:-0,41938453912734985
0,8569750785827637:0,8154020309448242:-1,4241083860397339; 0,9943267107009888:0,9908559322357178:-0,459166944026947; 0,4999147951602936:0,9460715055465698:-0,6756911873817444; 1,0357327461242676:1,3490896224975586:-0,49082493782043457; 0,35594338178634644:1,3301448822021484:-0,5521162748336792; 1,033766269683838:1,4666879177093506:-0,8901470899581909; 0,3484717011451721:1,6560567617416382:-0,7962611317634583; 1,0145045518875122:1,4704644680023193:-0,9278411865234375; 0,40942811965942383:1,7367513179779053:-0,836342990398407; 0,8156631588935852:1,7270092964172363:0,04127800837159157; 0,5234191417694092:1,7413758039474487:-0,04208599030971527; 0,8152500987052917:2,3614773750305176:-0,3898943066596985; 0,5061737298965454:2,367063045501709:-0,39983057975769043; 0,7845888137817383:2,887406349182129:-0,1151515394449234; 0,4933081567287445:2,898465871810913:-0,07806698977947235; 0,7682200074195862:3,108882427215576:-0,38263264298439026; 0,5545660853385925:3,1281096935272217:-0,4087558090686798
0,8572591543197632:0,8154545426368713:-1,3282045125961304; 0,9942158460617065:0,9906927943229675:-0,38729920983314514; 0,49984225630760193:0,9458429217338562:-0,6227707862854004; 1,034206509590149:1,3548359870910645:-0,47307640314102173; 0,35338860750198364:1,3308682441711426:-0,5433486700057983; 1,040330171585083:1,4550516605377197:-0,9103649258613586; 0,34788352251052856:1,6565301418304443:-0,8069919943809509; 1,0274357795715332:1,4465314149856567:-0,9498648643493652; 0,40588095784187317:1,7398380041122437:-0,8467445373535156; 0,8157085180282593:1,726914882659912:0,041153933852910995; 0,5229811668395996:1,7414177656173706:-0,04196913540363312; 0,8151557445526123:2,3627877235412598:-0,39993926882743835; 0,5061728954315186:2,3688573837280273:-0,39480170607566833; 0,7851660847663879:2,8881466388702393:-0,12359926104545593; 0,4939276874065399:2,900891065597534:-0,08051444590091705; 0,7697545886039734:3,110361337661743:-0,39074093103408813; 0,5561881065368652:3,1297221183776855:-0,4120618402957916
0,8570395708084106:0,8149905204772949:-1,3912148475646973; 0,994782567024231:0,9918080568313599:-0,44907045364379883; 0,4996398389339447:0,9460652470588684:-0,6677463054656982; 1,0494438409805298:1,3455275297164917:-0,490850567817688; 0,35494184494018555:1,3315098285675049:-0,5598980188369751; 1,0598461627960205:1,426491618156433:-0,8817104697227478; 0,34759682416915894:1,6563537120819092:-0,8061545491218567; 1,0419621467590332:1,4210602045059204:-0,9185125827789307; 0,40880900621414185:1,7371357679367065:-0,8452027440071106; 0,8158265948295593:1,7274833917617798:0,0412982702255249; 0,5233504176139832:1,7414404153823853:-0,042111221700906754; 0,8152574896812439:2,3627450466156006:-0,40155234932899475; 0,506169855594635:2,3677361011505127:-0,40041375160217285; 0,7850773334503174:2,889251708984375:-0,15207229554653168; 0,49329206347465515:2,899751901626587:-0,09579839557409286; 0,7705492377281189:3,111431837081909:-0,41371092200279236; 0,5548045635223389:3,129979133605957:-0,41938453912734985
0,8569750785827637:0,8154020309448242:-1,4241083860397339; 0,9943267107009888:0,9908559322357178:-0,459166944026947; 0,4999147951602936:0,9460715055465698:-0,6756911873817444; 1,0357327461242676:1,3490896224975586:-0,49082493782043457; 0,35594338178634644:1,3301448822021484:-0,5521162748336792; 1,033766269683838:1,4666879177093506:-0,8901470899581909; 0,3484717011451721:1,6560567617416382:-0,7962611317634583; 1,0145045518875122:1,4704644680023193:-0,9278411865234375; 0,40942811965942383:1,7367513179779053:-0,836342990398407; 0,8156631588935852:1,7270092964172363:0,04127800837159157; 0,5234191417694092:1,7413758039474487:-0,04208599030971527; 0,8152500987052917:2,3614773750305176:-0,3898943066596985; 0,5061737298965454:2,367063045501709:-0,39983057975769043; 0,7845888137817383:2,887406349182129:-0,1151515394449234; 0,4933081567287445:2,898465871810913:-0,07806698977947235; 0,7682200074195862:3,108882427215576:-0,38263264298439026; 0,5545660853385925:3,1281096935272217:-0,4087558090686798
0,8572591543197632:0,8154545426368713:-1,3282045125961304; 0,9942158460617065:0,9906927943229675:-0,38729920983314514; 0,49984225630760193:0,9458429217338562:-0,6227707862854004; 1,034206509590149:1,3548359870910645:-0,47307640314102173; 0,35338860750198364:1,3308682441711426:-0,5433486700057983; 1,040330171585083:1,4550516605377197:-0,9103649258613586; 0,34788352251052856:1,6565301418304443:-0,8069919943809509; 1,0274357795715332:1,4465314149856567:-0,9498648643493652; 0,40588095784187317:1,7398380041122437:-0,8467445373535156; 0,8157085180282593:1,726914882659912:0,041153933852910995; 0,5229811668395996:1,7414177656173706:-0,04196913540363312; 0,8151557445526123:2,3627877235412598:-0,39993926882743835; 0,5061728954315186:2,3688573837280273:-0,39480170607566833; 0,7851660847663879:2,8881466388702393:-0,12359926104545593; 0,4939276874065399:2,900891065597534:-0,08051444590091705; 0,7697545886039734:3,110361337661743:-0,39074093103408813; 0,5561881065368652:3,1297221183776855:-0,4120618402957916
0,8572965860366821:0,8155418634414673:-1,397294521331787; 0,9921013712882996:0,9929977059364319:-0,4477202296257019; 0,5003085136413574:0,9458572268486023:-0,6477269530296326; 1,0216540098190308:1,360389232635498:-0,47747623920440674; 0,35100817680358887:1,3275728225708008:-0,5148406028747559; 1,0093705654144287:1,5337142944335938:-0,8987146019935608; 0,3302920162677765:1,6545758247375488:-0,7388260960578918; 0,9851146936416626:1,553777813911438:-0,9390850067138672; 0,38855084776878357:1,739885926246643:-0,7785093188285828; 0,8143131732940674:1,7270976305007935:0,039753373712301254; 0,5215784311294556:1,741199016571045:-0,04045895114541054; 0,8087647557258606:2,3629631996154785:-0,3745051622390747; 0,5027115345001221:2,3678884506225586:-0,3860144019126892; 0,774649441242218:2,8877007961273193:-0,08256805688142776; 0,48686614632606506:2,898939371109009:-0,06462642550468445; 0,7525171041488647:3,107499122619629:-0,337974488735199; 0,5442548394203186:3,12552547454834:-0,39274850487709045
0,8570395708084106:0,8149905204772949:-1,3912148475646973; 0,994782567024231:0,9918080568313599:-0,44907045364379883; 0,4996398389339447:0,9460652470588684:-0,6677463054656982; 1,0494438409805298:1,3455275297164917:-0,490850567817688; 0,35494184494018555:1,3315098285675049:-0,5598980188369751; 1,0598461627960205:1,426491618156433:-0,8817104697227478; 0,34759682416915894:1,6563537120819092:-0,8061545491218567; 1,0419621467590332:1,4210602045059204:-0,9185125827789307; 0,40880900621414185:1,7371357679367065:-0,8452027440071106; 0,8158265948295593:1,7274833917617798:0,0412982702255249; 0,5233504176139832:1,7414404153823853:-0,042111221700906754; 0,8152574896812439:2,3627450466156006:-0,40155234932899475; 0,506169855594635:2,3677361011505127:-0,40041375160217285; 0,7850773334503174:2,889251708984375:-0,15207229554653168; 0,49329206347465515:2,899751901626587:-0,09579839557409286; 0,7705492377281189:3,111431837081909:-0,41371092200279236; 0,5548045635223389:3,129979133605957:-0,41938453912734985
